	Train acc	Test acc	Train loss	Test loss
0	0.0	0.0	0.0	0.0
1	19.989999771118164	19.56999969482422	2.5510013145446777	2.548987781524658
2	19.040000915527344	18.969999313354492	2.4370914096832275	2.4325059028625486
3	27.489999771118164	27.350000381469727	1.9692846307754517	1.9880880416870117
4	11.59000015258789	12.0600004196167	2.526531778717041	2.5278247653961183
5	25.90999984741211	24.780000686645508	2.186431874847412	2.1905244068145753
6	19.190000534057617	19.40999984741211	2.690534226989746	2.6934958099365236
7	26.5	26.81999969482422	2.7971744636535645	2.781479843902588
8	32.290000915527344	33.13999938964844	2.022203379440308	2.0250895860671996
9	20.799999237060547	20.09000015258789	2.443179289627075	2.4643942024230956
10	17.770000457763672	17.65999984741211	2.674452088165283	2.668843268966675
11	32.540000915527344	32.790000915527344	2.340367074584961	2.333563221168518
12	23.81999969482422	24.110000610351562	2.587964919281006	2.5799727924346922
13	27.280000686645508	27.09000015258789	2.1267950771331785	2.1244929626464844
14	33.97999954223633	34.5	1.9324148336410523	1.933331456565857
15	32.9900016784668	33.65999984741211	1.8915426147460936	1.889088120651245
16	29.809999465942383	29.670000076293945	2.239843005371094	2.235814465904236
17	22.3700008392334	21.950000762939453	2.3681283451080324	2.3569255798339843
18	39.529998779296875	40.209999084472656	1.7474858833312987	1.72795581741333
19	36.689998626708984	36.25	1.6948821102142333	1.699444776916504
20	42.900001525878906	43.16999816894531	1.5967910652160644	1.5973567083358764
21	38.900001525878906	37.720001220703125	1.7276442121505737	1.7233765523910523
22	37.41999816894531	37.470001220703125	1.6842190370559693	1.6824125999450683
23	39.84000015258789	39.63999938964844	1.6684493537902831	1.677954585456848
24	34.72999954223633	34.650001525878906	1.7351899421691894	1.7221197944641113
25	43.93000030517578	43.18000030517578	1.5801903783798217	1.5960800453186035
26	37.47999954223633	37.619998931884766	1.7319651762008668	1.7256225234985352
27	34.88999938964844	34.79999923706055	1.7659703340530395	1.7782387321472168
28	37.58000183105469	37.15999984741211	1.6872370054244996	1.684003973197937
29	38.40999984741211	38.900001525878906	1.7707934326171875	1.7747935508728028
30	38.439998626708984	38.81999969482422	1.6811566276550294	1.6787184270858764
31	43.95000076293945	43.63999938964844	1.6172947904586792	1.6163581533432008
32	40.45000076293945	40.540000915527344	1.653098589706421	1.6527511850357055
33	39.72999954223633	39.349998474121094	1.6841017267227172	1.6933369773864746
34	39.59000015258789	39.119998931884766	1.6675078683853148	1.676855948638916
35	44.529998779296875	43.52000045776367	1.5903183523178102	1.6010863134384155
36	42.56999969482422	42.2599983215332	1.6222335794448852	1.6259400754928588
37	43.93000030517578	42.2599983215332	1.5904244476318359	1.6065142162322998
38	45.65999984741211	44.880001068115234	1.6118978713989258	1.624118451499939
39	39.65999984741211	38.90999984741211	1.692584510421753	1.691154543876648
40	39.59000015258789	38.959999084472656	1.7209946592330934	1.7347377487182618
41	38.689998626708984	37.7599983215332	1.7374380626678467	1.7471963777542114
42	40.2599983215332	40.77000045776367	1.657790016937256	1.6506909986495972
43	43.779998779296875	43.5	1.6362979675292968	1.6388545526504517
44	37.81999969482422	37.900001525878906	1.7304299213409424	1.740759037208557
45	35.31999969482422	35.529998779296875	1.814750832939148	1.8214829668045045
46	37.90999984741211	38.189998626708984	1.8212473432540894	1.8095842239379882
47	38.18000030517578	37.72999954223633	1.714091630554199	1.720574835395813
48	41.540000915527344	41.61000061035156	1.659791661453247	1.6658513786315918
49	43.380001068115234	42.61000061035156	1.638578966140747	1.6598607948303223
50	43.77000045776367	43.38999938964844	1.6269277238845825	1.6212040912628174
51	44.04999923706055	43.7599983215332	1.6207836963653564	1.6197587486267089
