	Train acc	Test acc	Train loss	Test loss
0	0.0	0.0	0.0	0.0
1	17.1200008392334	16.969999313354492	2.5979372798919678	2.599265605926514
2	16.100000381469727	16.139999389648438	2.48675216255188	2.486207809448242
3	10.8100004196167	10.600000381469727	3.787152005004883	3.781938652420044
4	23.920000076293945	23.049999237060547	2.7890491771697996	2.801354388046265
5	15.460000038146973	15.9399995803833	3.17469581489563	3.159062662124634
6	19.549999237060547	19.31999969482422	2.619514305114746	2.606636680984497
7	29.3700008392334	28.670000076293945	2.3145631252288816	2.314984864425659
8	22.31999969482422	22.09000015258789	2.4443410961151124	2.4209797792434693
9	29.639999389648438	30.31999969482422	1.9776101140975952	1.957615280342102
10	21.309999465942383	21.860000610351562	2.684466548538208	2.6738721378326415
11	18.81999969482422	18.3700008392334	2.4739696796417237	2.495002356338501
12	15.220000267028809	15.84000015258789	2.9203255424499512	2.921355738067627
13	28.8799991607666	28.639999389648438	2.5080539234161376	2.497506938171387
14	33.29999923706055	33.220001220703125	1.9553673931121827	1.9611987930297852
15	27.940000534057617	27.90999984741211	2.1072260929107665	2.116501899528503
16	25.440000534057617	25.940000534057617	2.2925601585388184	2.272196548461914
17	32.599998474121094	32.02000045776367	2.0147741855621337	2.0260512413024903
18	32.810001373291016	33.599998474121094	1.9287209957122802	1.9106742290496825
19	28.329999923706055	28.440000534057617	1.8824194290161134	1.886596501159668
20	34.29999923706055	34.04999923706055	1.7595497323989868	1.7700104978561402
21	29.969999313354492	30.729999542236328	1.9514222774505616	1.935892282485962
22	30.229999542236328	30.459999084472656	1.8974832622528077	1.8889098436355591
23	38.93000030517578	38.91999816894531	1.7307677394866943	1.7248430126190186
24	29.690000534057617	29.989999771118164	1.8554547857284547	1.8440991487503051
25	33.77000045776367	32.959999084472656	1.7975246196746826	1.8260466556549073
26	39.88999938964844	40.060001373291016	1.6572706979751588	1.6581890716552734
27	35.689998626708984	35.849998474121094	1.7383128734588622	1.740655839729309
28	39.52000045776367	40.209999084472656	1.6647661811828613	1.66306943359375
29	31.09000015258789	31.420000076293945	1.8737299041748048	1.8752856336593628
30	35.25	34.20000076293945	1.7502030975341798	1.7563552158355713
31	38.40999984741211	36.900001525878906	1.695957809829712	1.7155989910125733
32	37.15999984741211	37.0099983215332	1.7310902387619018	1.7433416835784912
33	36.95000076293945	36.56999969482422	1.7973723598480225	1.80449130859375
34	37.790000915527344	37.43000030517578	1.7325685468673706	1.733667498588562
35	40.31999969482422	39.7400016784668	1.7029000379562378	1.7007920806884766
36	40.65999984741211	40.61000061035156	1.6857222709655761	1.6841193273544313
37	40.04999923706055	38.91999816894531	1.675536456680298	1.6825073106765747
38	39.79999923706055	38.810001373291016	1.6745803163528443	1.6856317623138428
39	37.29999923706055	37.369998931884766	1.7162674350738525	1.7238716871261597
40	36.75	36.66999816894531	1.713916862678528	1.715170756340027
41	43.2599983215332	42.04999923706055	1.6184212421417237	1.6303994272232056
42	38.84000015258789	39.36000061035156	1.6705897567749024	1.6638089500427247
43	41.22999954223633	39.810001373291016	1.6815702842712403	1.6946348304748535
44	41.529998779296875	40.709999084472656	1.673124970626831	1.685657399749756
45	43.150001525878906	42.63999938964844	1.644151861190796	1.656687639427185
46	42.56999969482422	42.709999084472656	1.647921724510193	1.6429352611541748
47	44.2599983215332	43.2400016784668	1.6136997987747193	1.6239089958190918
48	41.31999969482422	41.060001373291016	1.646767219352722	1.6512037328720093
49	39.83000183105469	39.11000061035156	1.655235850906372	1.6749448177337647
50	42.59000015258789	43.099998474121094	1.6131464183807374	1.6131591688156128
51	43.970001220703125	42.88999938964844	1.6029921953201294	1.6112561721801757
