	Train acc	Test acc	Train loss	Test loss
0	0.0	0.0	0.0	0.0
1	9.729999542236328	9.680000305175781	3.3070840560913086	3.293925671386719
2	46.84000015258789	47.43000030517578	2.1025203811645508	2.0999241912841797
3	56.40999984741211	55.900001525878906	1.6991250410079957	1.7244515968322753
4	60.720001220703125	60.150001525878906	1.4504314748764038	1.4586864263534547
5	56.27000045776367	55.22999954223633	1.429736886024475	1.449827212715149
6	66.37000274658203	65.61000061035156	1.1390379053115844	1.17069510307312
7	71.63999938964844	71.69000244140625	1.0066982071876527	1.0263920701980591
8	70.51000213623047	70.0999984741211	0.9914808871269226	1.0027207639694213
9	72.70999908447266	73.31999969482422	0.9168038876533509	0.9059619388580322
10	70.81999969482422	72.29000091552734	0.9341669904708862	0.8961641412734985
11	76.7699966430664	75.30999755859375	0.7362758115768433	0.764207664680481
12	78.37999725341797	77.91999816894531	0.692281353187561	0.7046277321815491
13	79.25	78.7699966430664	0.6955108156681061	0.700221978187561
14	78.94000244140625	78.95999908447266	0.7044763649940491	0.7068773685455322
15	78.05000305175781	77.69000244140625	0.6866981391906738	0.6904707550048829
16	78.11000061035156	77.80999755859375	0.6913061676979065	0.69394022731781
17	80.79000091552734	81.22000122070312	0.6555767164707184	0.6489428540229797
18	81.55000305175781	82.4000015258789	0.6399021043777465	0.6273669416904449
19	80.20999908447266	80.75	0.6644862149238586	0.6518635543346405
20	81.23999786376953	80.83000183105469	0.641707468366623	0.6521054794311524
21	81.05999755859375	81.83000183105469	0.6277006572723388	0.6270019988536835
22	82.4000015258789	81.31999969482422	0.6107965743541718	0.6358668828010559
23	81.87999725341797	82.12999725341797	0.6286285487174987	0.616965696811676
24	82.52999877929688	82.16999816894531	0.5987765095949173	0.6149932347297669
25	81.66000366210938	81.94000244140625	0.6201863224983215	0.6255489130973816
26	82.87000274658203	82.36000061035156	0.5999338947296142	0.617992306137085
27	83.0199966430664	82.26000213623047	0.6001205516815186	0.610700412273407
28	80.29000091552734	81.37000274658203	0.640979801273346	0.6154924352645874
29	81.41000366210938	81.76000213623047	0.6191238788604736	0.6196993151664734
30	81.94000244140625	82.27999877929688	0.6087419821739197	0.6017763065338135
31	81.30999755859375	81.87000274658203	0.619199314880371	0.6101444532871246
